edge_min,n_bets,roi
0.0,5044,0.04148216531640883
0.05,4212,0.040427166052877966
0.1,3522,0.04509126253391211
0.2,2424,0.06818596071302531
0.3,1638,0.09880631871252853
0.5,791,0.16702800829579362
0.6,536,0.2130302407055934
0.7,386,0.21795252491984363
